,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
5,52,XRP,XRP,xrp,1219,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54374512255.0,99987956150.0,False,,6,,,,2024-01-31T04:14:00.000Z,0.5105839705091725,1764602880.4893098,93.3791,0.32619848,-4.99592543,-0.70974713,-16.76576115,-16.71875455,-16.48609437,27762754361.65756,1.6807,51058397050.92,,2024-01-31T04:14:00.000Z,,,,,,2024-01-31 15:15:01.667115
6,3408,USDC,USDC,usd-coin,16464,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26696097516.46061,26696097516.46061,False,,7,,,,2024-01-31T04:14:00.000Z,1.0001503206380187,5770068042.423072,12.6212,0.00524322,0.01898761,0.01987741,-0.03327922,0.01738395,0.00686759,26700110490.87189,1.6161,26700110490.87,,2024-01-31T04:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-31 15:15:01.667115
7,2010,Cardano,ADA,cardano,1050,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35423502481.959,36585743945.107,False,,8,,,,2024-01-31T04:13:00.000Z,0.5118675532561723,458956914.96737766,-9.5272,0.02243313,-3.59136351,10.03487517,-14.23091389,32.53662089,65.02043907,18132141543.2043,1.0977,23034039896.53,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:15:01.667115
8,5805,Avalanche,AVAX,avalanche,653,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,367068682.2199238,435101592.2199238,False,,9,,,,2024-01-31T04:13:00.000Z,34.94762829432348,674151249.9390732,0.5215,-0.15871045,-2.49963875,18.32710355,-9.42466124,58.44310817,183.38454675,12828179864.709044,0.7766,25162292371.91,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:15:01.667115
9,74,Dogecoin,DOGE,dogecoin,886,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142874726383.70523,142874726383.70523,True,,10,,,,2024-01-31T04:14:00.000Z,0.08019476176944079,326744030.280334,-41.8076,0.2303745,-1.96585833,2.57496026,-10.1908261,-4.87878885,15.27101629,11457804645.215279,0.6936,11457804645.22,,2024-01-31T04:14:00.000Z,,,,,,2024-01-31 15:15:01.667115
10,1958,TRON,TRX,tron,921,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88140585764.39207,88140607987.17664,True,,11,71659659264.0,8037342770.558842,,2024-01-31T04:13:00.000Z,0.11215993563336128,215135596.32940856,-20.7215,0.21861867,-0.36596814,4.79724533,4.70056693,8.52740434,11.2236971,9885842426.020975,0.5984,9885844918.53,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:15:01.667115
11,1975,Chainlink,LINK,chainlink,1601,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,12,,,,2024-01-31T04:13:00.000Z,15.905846340226013,640586932.0184587,49.8315,0.46496777,5.978371,12.77276392,6.21885794,4.01254781,36.15411226,9036110835.908964,0.547,15905846340.23,,2024-01-31T04:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-31 15:15:01.667115
12,6636,Polkadot,DOT,polkadot-new,679,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1273651252.306437,1405911754.0147886,True,,13,,,,2024-01-31T04:13:00.000Z,6.801648767968479,208824237.17473915,-37.4771,-0.34097974,-3.093305,8.45906178,-16.67443971,24.12435103,43.27163658,8662928471.071589,0.5244,9562517949.57,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:15:01.667115
13,3890,Polygon,MATIC,polygon,1263,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9603197469.087326,10000000000.0,False,,14,,,,2024-01-31T04:13:00.000Z,0.806903566600086,333653522.4477325,5.7748,0.75746573,-0.27635414,12.46171717,-16.93168204,0.27527704,18.4658711,7748854288.571483,0.4691,8069035666.0,,2024-01-31T04:13:00.000Z,,,,,,2024-01-31 15:15:01.667115
14,11419,Toncoin,TON,toncoin,197,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3457848339.3951774,5102130896.821065,True,,15,3414166606.0,7075211769.901319,,2024-01-31T04:14:00.000Z,2.0723100499745555,25916440.11984144,21.7759,0.03472617,-2.08221893,-1.86347908,-9.97613685,-14.74687011,-7.10291449,7165733865.016454,0.4338,10573197133.77,,2024-01-31T04:14:00.000Z,,,,,,2024-01-31 15:15:01.667115
